end,pt_location,_pt_location_latitude,_pt_location_longitude,_pt_location_altitude,_pt_location_precision,user_select,user_text,user_date,user_integer,pt_photo,meta/instanceID,_uuid,_submission_time
2014-03-08T10:57:38.890+08,14.55305925 121.01792405 408.1000061035156 15.0,14.55305925,121.0179241,408.1000061,15,charlie,McDonald's,3/8/14,22,1394247450718.jpg,uuid:63c98549-5a12-46fa-8900-373aca202558,63c98549-5a12-46fa-8900-373aca202558,2014-03-08T04:18:00
2014-03-08T10:52:11.524+08,14.55211478 121.01815839 189.39999389648438 12.0,14.55211478,121.0181584,189.3999939,12,bravo,Trasierra & Benavidez,3/8/14,1,1394247124830.jpg,uuid:d7ebe7ab-ae4f-40b4-8c3b-0164016eaf0b,d7ebe7ab-ae4f-40b4-8c3b-0164016eaf0b,2014-03-08T04:17:57
2014-03-08T11:04:15.642+08,14.55127321 121.02342963 27.0 17.0,14.55127321,121.0234296,27,17,alfa,Danger,3/8/14,34500,1394247851415.jpg,uuid:6f58c11c-bfdf-406b-957a-c1fff8fe05ab,6f58c11c-bfdf-406b-957a-c1fff8fe05ab,2014-03-08T04:19:36
2014-03-08T10:47:48.693+08,14.55173621 121.01632652 175.8000030517578 26.0,14.55173621,121.0163265,175.8000031,26,alfa,Ask for Ralph,3/8/14,0,1394246862164.jpg,uuid:3802831c-0778-4f01-8d6f-6b2c64ce6e0f,3802831c-0778-4f01-8d6f-6b2c64ce6e0f,2014-03-08T04:17:38
,,11.15060232,124.9994486,,,not from survey,demonstration point,3/9/14,1,Cogon001.jpg,,,
,,11.14943402,125.0007962,,,not from survey,demonstration point,3/9/14,2,Cogon002.jpg,,,
,,11.14920315,125.0008533,,,not from survey,demonstration point,3/9/14,3,Cogon003.jpg,,,
,,11.1481118,124.9997481,,,not from survey,demonstration point,3/9/14,4,Cogon004.jpg,,,
,,11.14790892,124.9998764,,,not from survey,demonstration point,3/9/14,5,Cogon005.jpg,,,
,,11.14737724,124.9998978,,,not from survey,demonstration point,3/9/14,6,Cogon006.jpg,,,
,,11.14682457,125.0003969,,,not from survey,demonstration point,3/9/14,7,Cogon007.jpg,,,
,,11.14696448,125.0005039,,,not from survey,demonstration point,3/9/14,8,Cogon008.jpg,,,
,,11.14859452,124.9999477,,,not from survey,demonstration point,3/9/14,9,Cogon009.jpg,,,
,,11.15034347,124.9997196,,,not from survey,demonstration point,3/9/14,10,Cogon010.jpg,,,
,,11.15072124,125.0001046,,,not from survey,demonstration point,3/9/14,11,Cogon011.jpg,,,
2014-03-10T08:15:22.513+08,14.5407162 121.01724547 63.5 9.0,14.5407162,121.0172455,63.5,9,bravo,Billboard,3/10/14,5,1394410482910.jpg,uuid:12ae66d6-c8f8-4281-a706-49dfabdfbdb1,12ae66d6-c8f8-4281-a706-49dfabdfbdb1,2014-03-10T01:20:13
2014-03-10T08:18:00.807+08,14.53766533 120.99947556 59.0 20.0,14.53766533,120.9994756,59,20,bravo,Bus,3/10/14,26,1394410663674.jpg,uuid:b8f73da5-050c-4c5d-8d51-2f800b46b0fe,b8f73da5-050c-4c5d-8d51-2f800b46b0fe,2014-03-10T01:20:37
2014-03-10T08:19:36.667+08,14.5389405 120.99244352 50.599998474121094 8.0,14.5389405,120.9924435,50.59999847,8,bravo,People waiting,3/10/14,3,1394410750786.jpg,uuid:2417cc2f-3b2e-4040-80e9-6bf3596da250,2417cc2f-3b2e-4040-80e9-6bf3596da250,2014-03-10T01:21:02
2014-03-10T08:21:05.756+08,14.54015045 120.99233342 43.099998474121094 10.0,14.54015045,120.9923334,43.09999847,10,alfa,Japanese Embassy,3/10/14,3,1394410827523.jpg,uuid:c3863f79-5dd9-4e8a-8059-942e8cd94dc9,c3863f79-5dd9-4e8a-8059-942e8cd94dc9,2014-03-10T01:21:20
2014-03-10T08:30:14.022+08,14.55145283 120.98988614 51.79999923706055 8.0,14.55145283,120.9898861,51.79999924,8,alfa,Singing Cooks,3/10/14,29,1394411379787.jpg,uuid:dc950ff2-7e01-4dc8-967b-a3d78344e523,dc950ff2-7e01-4dc8-967b-a3d78344e523,2014-03-10T01:21:37
2014-03-10T08:32:14.594+08,14.55564384 120.98857399 37.79999923706055 17.0,14.55564384,120.988574,37.79999924,17,bravo,Car,3/10/14,1,1394411528133.jpg,uuid:4ce0db4c-704b-4a18-afd7-7cff53ecd9b4,4ce0db4c-704b-4a18-afd7-7cff53ecd9b4,2014-03-10T01:22:02
2014-03-10T08:13:20.501+08,14.54810994 121.02560165 76.9000015258789 7.0,14.54810994,121.0256017,76.90000153,7,charlie,From the van,3/10/14,5,1394410364246.jpg,uuid:4dae5b2d-07a3-44f6-b7e6-a9ad2fa839d3,4dae5b2d-07a3-44f6-b7e6-a9ad2fa839d3,2014-03-10T01:22:32
